Sparsity,Gaplength
34.78260869565217,12
34.78260869565217,24
34.78260869565217,36
60.0,36
45.45454545454545,24
45.45454545454545,12
32.5503355704698,60
32.5503355704698,36
32.5503355704698,1
14.285714285714285,3
16.666666666666664,4
75.0,48
75.0,96
20.0,36
23.076923076923077,12
71.42857142857143,108
71.42857142857143,12
5.741626794258373,12
66.66666666666666,72
40.0,12
40.0,24
50.0,60
50.0,48
